Year,Driver,WINS,Avg Start,Avg Mid Race,Avg Finish,Avg Pos,Pass Diff,GF passes,GF passed,Quality Passes,% Quality Passes,# Fast laps,Laps Top 15,% Laps Top 15,Laps Lead,% Laps Lead,Total Laps,Driver Rating,Points,Car
2020,Chase Elliott,5,9,10.7,12.2,9.2,323,3634,3311,2386,65.7,800,8412,88.2,1247,13.1,9541,103.2,5040,Chevrolet
2020,Brad Keselowski,4,7.6,9.4,10.1,10,212,3599,3387,2418,67.2,528,8039,82.5,952,9.8,9739,100,5035,Ford
2020,Joey Logano,3,6.4,10.8,11.9,9,54,3121,3067,2060,66,408,8363,85.5,939,9.6,9785,101.9,5034,Ford
2020,Denny Hamlin,7,8.9,11.2,9.3,10.7,25,3022,2997,1787,59.1,618,6974,70.5,1083,10.9,9891,100.8,5033,Toyota
2020,Kevin Harvick,9,7.7,8.8,7.4,9.4,11,3241,3230,1976,61,862,8151,82.2,1531,15.4,9911,107.4,2410,Ford
2020,Alex Bowman,1,8.9,12.7,14.8,12.2,-123,3598,3721,2040,56.7,427,7061,73.7,440,4.6,9575,90.8,2371,Chevrolet
2020,Martin Truex Jr.,1,9.6,12.4,11.7,11,167,2976,2809,1774,59.6,679,7610,78.5,950,9.8,9690,99.6,2341,Toyota
2020,Kyle Busch,1,9.9,12.2,13.9,12.2,83,3233,3150,2014,62.3,437,7260,76.5,516,5.4,9496,93,2341,Toyota
2020,Ryan Blaney,1,11.4,13.1,13.9,11.5,213,3301,3088,2045,62,590,7014,76.1,668,7.2,9219,96.3,2336,Ford
2020,Kurt Busch,1,9.7,13.3,13.5,13.1,-31,3403,3434,2144,63,216,7072,75.2,169,1.8,9404,87.2,2287,Chevrolet
2020,Austin Dillon,1,15.4,15.4,16.2,16.5,17,3533,3516,1525,43.2,186,4993,52.7,135,1.4,9469,76,2277,Chevrolet
2020,Clint Bowyer,0,13,13.4,14.7,13.6,-23,3127,3150,1800,57.6,233,6979,73.4,280,2.9,9506,85.1,2254,Ford
2020,Matt DiBenedetto,0,14,14.6,14.8,13.7,-26,3718,3744,2119,57,103,5995,61.4,91,0.9,9767,82.8,2249,Ford
2020,William Byron,1,14.9,14.8,16.2,14.8,261,3760,3499,2097,55.8,206,6324,67.9,140,1.5,9315,84.8,2247,Chevrolet
2020,Aric Almirola,0,9,15,13.3,14.1,-91,3333,3424,1617,48.5,282,6343,65.3,305,3.1,9707,86.2,2235,Ford
2020,Cole Custer,1,19.8,18.7,19.3,18.7,6,3688,3682,1374,37.3,82,3525,37.6,5,0.1,9364,70.3,2202,Ford
2020,Erik Jones,0,17.4,15.2,16,15.2,224,3639,3415,1833,50.4,223,5575,57.3,65,0.7,9735,81.8,873,Toyota
2020,Jimmie Johnson,0,17.3,14.9,16.2,14.6,244,3739,3495,2149,57.5,257,6215,66.8,107,1.2,9304,83.8,836,Chevrolet
2020,Tyler Reddick,0,18.6,17.7,17.5,17.3,120,4062,3942,1830,45.1,202,4855,51.4,30,0.3,9446,74.2,780,Chevrolet
2020,Christopher Bell,0,23.9,17.6,20.3,19,255,3650,3395,1449,39.7,149,3272,34.7,18,0.2,9428,70.3,678,Toyota
2020,Chris Buescher,0,18.6,20.2,19.1,20.7,-145,3613,3758,1214,33.6,84,2341,25,33,0.4,9361,66.1,645,Ford
2020,Bubba Wallace,0,22.2,21.3,21.1,21.1,-378,3576,3954,1127,31.5,63,2112,23.3,14,0.2,9079,62.7,597,Chevrolet
2020,Michael McDowell,0,24.3,22.5,20.9,23,-85,3020,3105,552,18.3,66,1430,14.9,6,0.1,9627,58.9,588,Ford
2020,Ricky Stenhouse Jr.,0,21.7,21.5,22.6,21.9,200,3468,3268,1218,35.1,108,2464,30.4,68,0.8,8096,64,584,Chevrolet
2020,Ryan Newman,0,18.2,19.1,20,20.3,-103,3032,3135,750,24.7,68,2215,24.7,35,0.4,8976,64.3,566,Ford
2020,Ty Dillon,0,25.6,22,22,23,-184,3612,3796,827,22.9,44,848,8.9,13,0.1,9495,57.3,556,Chevrolet
2020,John Hunter Nemechek,0,24.4,21.1,22.4,22.6,4,3681,3677,913,24.8,78,1380,14.4,1,0,9611,58.8,534,Ford
2020,Matt Kenseth,0,19,20.1,21.4,20.6,-262,2887,3149,918,31.8,81,2459,29.5,13,0.2,8337,65.3,521,Chevrolet
2020,Ryan Preece,0,25.4,23.1,24.4,23.1,125,3624,3499,873,24.1,36,1128,12.3,12,0.1,9208,58.3,477,Chevrolet
2020,Corey Lajoie,0,28.5,23.9,25.6,26.1,-93,2430,2523,253,10.4,42,521,5.6,13,0.1,9244,50.1,408,Ford
2020,Daniel Suarez,0,32.4,26.6,26.6,27.5,-197,2154,2351,240,11.1,25,199,2.1,20,0.2,9523,47,365,Toyota
2020,Brennan Poole,0,31,30.9,29.5,30.5,-113,1516,1629,123,8.1,34,154,1.8,4,0,8566,40.5,269,Chevrolet
2020,Quin Houff,0,32.2,34.1,31.4,33.6,-238,849,1087,60,7.1,12,54,0.6,0,0,8974,34.1,214,Chevrolet
2020,Kyle Larson,0,6.8,18.3,11,16.4,-32,411,443,196,47.7,9,592,59.7,2,0.2,991,81.4,121,Chevrolet
2020,Reed Sorenson,0,35.9,34.9,33.4,34.1,6,330,324,3,0.9,12,9,0.2,0,0,4356,34,68,Chevrolet
2020,James Davison,0,35.1,35.1,33.9,34.2,-2,379,381,5,1.3,8,12,0.4,0,0,3170,32.7,56,Ford
2019,Kyle Busch,5,12.3,8.2,8.9,9,388,3617,3229,2344,64.8,1066,8691,85.5,1582,15.6,10167,108.4,5040,Toyota
2019,Martin Truex Jr.,7,13.1,11.3,9.8,10.3,285,3191,2906,1763,55.2,930,8112,79.9,1371,13.5,10152,103.4,5035,Toyota
2019,Kevin Harvick,4,8.5,8.9,10.1,9.1,67,2883,2816,1750,60.7,822,8466,86.4,953,9.7,9804,105.2,5033,Ford
2019,Denny Hamlin,6,11,12.2,9.5,10.8,317,3268,2951,1820,55.7,576,7819,77.2,921,9.1,10124,98,5027,Toyota
2019,Joey Logano,2,10.3,12,10.8,10.4,251,3526,3275,2097,59.5,468,7739,75.7,899,8.8,10221,98.4,2380,Ford
2019,Kyle Larson,1,12.9,11.9,15.1,12.8,217,3724,3507,1862,50,475,7085,74.6,529,5.6,9496,90.4,2339,Chevrolet
2019,Ryan Blaney,1,12.3,10.1,13.8,10.9,-144,3660,3804,2191,59.9,407,7867,78.7,422,4.2,10001,93.8,2339,Ford
2019,Brad Keselowski,3,10,11.7,12.9,11.9,30,3305,3275,1840,55.7,483,7867,80.7,1085,11.1,9749,94.8,2318,Ford
2019,Clint Bowyer,0,10.7,13,15.2,13.1,-78,3187,3265,1788,56.1,259,7630,77.3,138,1.4,9874,86.6,2290,Ford
2019,Chase Elliott,3,10.9,11.7,15.2,13.6,145,3458,3313,1925,55.7,495,6743,71,600,6.3,9497,92.2,2275,Chevrolet
2019,William Byron,0,12.4,11.9,14.9,12.9,223,3659,3436,1802,49.2,236,6378,62.8,233,2.3,10149,85,2274,Chevrolet
2019,Alex Bowman,1,13.1,13.8,14.4,14.8,68,3657,3589,1746,47.7,246,5317,53,201,2,10028,82,2257,Chevrolet
2019,Kurt Busch,1,12.7,11.7,13.1,12.6,275,3735,3460,2075,55.6,290,7591,74.9,212,2.1,10140,87.9,2237,Chevrolet
2019,Aric Almirola,0,10.5,12.9,15.4,13.8,-119,3536,3655,1977,55.9,227,6218,65,180,1.9,9564,83.3,2234,Ford
2019,Ryan Newman,0,19.9,16.8,14.6,17.5,-135,3457,3592,1127,32.6,92,4515,45,19,0.2,10030,71.7,2219,Ford
2019,Erik Jones,1,14.9,14.8,15.3,14.9,-20,3413,3433,1777,52.1,261,6602,68.7,172,1.8,9606,85.1,2194,Toyota
2019,Daniel Suarez,0,14.2,13.8,16.4,14.7,-16,4085,4101,2010,49.2,216,6385,62.9,166,1.6,10143,79.7,846,Toyota
2019,Jimmie Johnson,0,13.5,15.4,17.4,15.6,-8,3149,3157,1674,53.2,153,5960,60.8,131,1.3,9798,78.7,835,Chevrolet
2019,Paul Menard,0,16.6,16.9,16.6,17.2,-82,3900,3982,1458,37.4,100,3949,38.7,11,0.1,10217,70.4,777,Ford
2019,Chris Buescher,0,21.6,18.8,17.9,18.4,130,3837,3707,1302,33.9,44,3016,30,13,0.1,10038,67.4,729,Ford
2019,Austin Dillon,0,16.5,17.6,19.5,18.1,-271,3362,3633,1467,43.6,125,4280,43.5,70,0.7,9832,70,700,Chevrolet
2019,Matt DiBenedetto,0,20.5,18.4,18.3,18,112,3968,3856,1424,35.9,130,4007,40.7,152,1.5,9839,69.9,699,Ford
2019,Ricky Stenhouse Jr.,0,15.1,21.7,20.5,18.6,-155,3600,3755,1695,47.1,114,3725,39.1,109,1.1,9526,70.1,679,Chevrolet
2019,Ty Dillon,0,23.5,23.2,20.6,23,-220,3445,3665,762,22.1,63,1267,12.5,14,0.1,10171,57.2,613,Chevrolet
2019,Daniel Hemric,0,18.1,20.5,22.5,20.4,-66,3582,3648,1083,30.2,101,2129,21.7,22,0.2,9825,62.1,530,Chevrolet
2019,Ryan Preece,0,24.4,23.3,23.1,23.5,55,3301,3246,441,13.4,32,785,7.9,1,0,9930,54.6,507,Chevrolet
2019,Michael McDowell,0,20.9,23.9,24.2,24.2,-297,2745,3042,577,21,61,891,9.5,20,0.2,9366,53.1,485,Ford
2019,Bubba Wallace,0,24.3,25,24,24.3,-5,2742,2747,441,16.1,71,945,9.5,1,0,9939,53.6,437,Chevrolet
2019,Corey Lajoie,0,29.7,28.6,25.9,28.7,-108,1984,2092,109,5.5,35,147,1.5,0,0,9541,44.6,401,Ford
2019,David Ragan,0,21.8,24.5,26.3,24.4,-322,3259,3581,841,25.8,68,738,7.6,3,0,9710,52.2,388,Ford
2019,Reed Sorenson,0,35.8,35,32.8,34.7,46,421,375,2,0.5,15,6,0.1,0,0,5854,30.6,118,Chevrolet
2019,Quin Houff,0,33.7,34.2,32.7,34.2,-7,225,232,0,0,10,13,0.3,0,0,4519,29.5,77,Chevrolet
2019,Jamie McMurray,0,16,29,22,22.6,-18,221,239,75,33.9,7,52,26.3,4,2,198,62.8,19,Chevrolet
2019,Drew Herring,0,37,32,29,31.7,9,73,64,3,4.1,0,0,0,0,0,262,40.3,8,Toyota
2019,Casey Mears,0,40,30,40,34.3,24,85,61,4,4.7,1,8,7.7,0,0,104,36.5,1,Chevrolet
2018,Joey Logano,3,9.8,11.7,10.7,10.6,-27,2371,2398,1485,62.6,277,8655,88.1,934,9.5,9826,97.3,5040,Ford
2018,Martin Truex Jr.,4,9.9,10.9,10.7,10.4,183,2462,2279,1432,58.2,764,8019,82.2,1016,10.4,9760,101.8,5035,Toyota
2018,Kevin Harvick,8,8.8,7.9,8.8,8.1,218,2159,1941,1483,68.7,1295,8759,90.4,1990,20.5,9691,115.5,5034,Ford
2018,Kyle Busch,8,7.4,8.8,8.3,8.2,144,2405,2261,1603,66.7,999,8870,88.7,1469,14.7,10001,109.3,5033,Toyota
2018,Aric Almirola,1,15.6,12.2,12.8,12.8,218,2825,2607,1594,56.4,303,7671,76.7,181,1.8,10003,88.6,2354,Ford
2018,Kurt Busch,1,8.8,10.6,12.1,9.7,86,2346,2260,1545,65.9,447,8604,86.1,644,6.4,9992,98.4,2350,Chevrolet
2018,Chase Elliott,3,11.1,12,12.3,11.2,273,2741,2468,1732,63.2,324,8047,81.7,325,3.3,9850,94.2,2350,Chevrolet
2018,Brad Keselowski,3,10.3,10.9,13.4,10.3,138,2442,2304,1548,63.4,494,8326,85.1,705,7.2,9788,97.6,2343,Ford
2018,Kyle Larson,0,12.8,12.3,12.6,11.7,519,2880,2361,1523,52.9,623,7592,77.7,782,8,9768,95.7,2299,Chevrolet
2018,Ryan Blaney,1,9.4,11.3,14.8,10.6,-4,2349,2353,1412,60.1,344,7387,77.6,660,6.9,9525,94.3,2298,Ford
